Name of project,Unique Name,Month,Year,Event type,Medium,💿 Production Type,Status,Start date,End Date,Promotions Start Date,Promotions Duration,Responsible,Average revenue (from Event type)
Manifesting Summit | 💻 Mastery Highlights Webinar | May 2026,Manifesting Summit,May,2026,💻 Mastery Highlights Webinar,📺 Zoom,🎓 Mastery,Confirmed,24 May 2026,,"May 19, 2026",5,Jaideep Chagger,$500000.00
Manifesting | 🏆 Mastery Program | Jun 2026,Manifesting,Jun,2026,🏆 Mastery Program,📺 Zoom,🎓 Mastery,Confirmed,1 June 2026,,,,Jaideep Chagger,
Business Coach  | 💻 Cert Online 1 Day Seminar | Jun 2026,Business Coach ,Jun,2026,💻 Cert Online 1 Day Seminar,🎥 Studio,🏃 Coach,Confirmed,6 June 2026,,"May 23, 2026",15,Jaideep Chagger,$1200000.00
Business Coach  | 👟 Cert Class | Jun 2026,Business Coach ,Jun,2026,👟 Cert Class,📺 Zoom,🏃 Coach,Confirmed,15 June 2026,,,,Jaideep Chagger,
Supercoach Summit | 🌐 Supercoach Summit | Jul 2026,Supercoach Summit,Jul,2026,🌐 Supercoach Summit,🏖️ Small Event (< 500),🎙️Summit,Confirmed,18 July 2026,19 July 2026,"June 18, 2026",30,Ajten Selfo,$60000.00
MVU Estonia | 🎓 Mindvalley U | Jul 2026,MVU Estonia,Jul,2026,🎓 Mindvalley U,💃 Large Event (> 500),💃 Event,Confirmed,20 July 2026,2 August 2026,"July 20, 2025",365,Ajten Selfo,$1200000.00
Speaking & Influence Summit  | 🌐 Mastery Hybrid Summit | Jul 2026,Speaking & Influence Summit ,Jul,2026,🌐 Mastery Hybrid Summit,💃 Large Event (> 500),🎙️Summit,Confirmed,25 July 2026,26 July 2026,"June 10, 2026",45,Jaideep Chagger,$5000000.00
Certified Hypnotherapy (Members) | 💻 Cert Online 1 Day Seminar | Aug 2026,Certified Hypnotherapy (Members),Aug,2026,💻 Cert Online 1 Day Seminar,🎥 Studio,🏃 Coach,Confirmed,9 August 2026,9 August 2026,"July 25, 2026",15,Jaideep Chagger,$1200000.00
Speaking & Influence Mastery | 🏆 Mastery Program | Aug 2026,Speaking & Influence Mastery,Aug,2026,🏆 Mastery Program,📺 Zoom,🎓 Mastery,Confirmed,10 August 2026,,,,Jaideep Chagger,
Certified Hypnotherapy (All) | 📜 Cert Presentation Webinar | Aug 2026,Certified Hypnotherapy (All),Aug,2026,📜 Cert Presentation Webinar,📺 Zoom,🏃 Coach,Confirmed,11 August 2026,11 August 2026,"August 2, 2026",10,Jaideep Chagger,$1200000.00
Certified Hypnotherapy Campaign | 👟 Cert Class | Aug 2026,Certified Hypnotherapy Campaign,Aug,2026,👟 Cert Class,📺 Zoom,🏃 Coach,Confirmed,17 August 2026,11 August 2026,,,Jaideep Chagger,
Longevity Summit | 🌐 Mastery Hybrid Summit | Sep 2026,Longevity Summit,Sep,2026,🌐 Mastery Hybrid Summit,💃 Large Event (> 500),🎙️Summit,Dates to be Confirmed,11 September 2026,13 September 2026,"July 28, 2026",45,Jaideep Chagger,$5000000.00
Longevity Mastery | 🏆 Mastery Program | Sep 2026,Longevity Mastery,Sep,2026,🏆 Mastery Program,📺 Zoom,🎓 Mastery,Dates to be Confirmed,28 September 2026,,,,Jaideep Chagger,
Entrepreneurship Summit | 🌐 Mastery Hybrid Summit | Oct 2026,Entrepreneurship Summit,Oct,2026,🌐 Mastery Hybrid Summit,💃 Large Event (> 500),🎙️Summit,Confirmed,25 September 2026,27 September 2026,"August 12, 2026",45,Jaideep Chagger,$5000000.00
Entrepreneurship Mastery | 🏆 Mastery Program | Oct 2026,Entrepreneurship Mastery,Oct,2026,🏆 Mastery Program,📺 Zoom,🎓 Mastery,Confirmed,12 October 2026,,,,Jaideep Chagger,
Black Friday | 🛍️ Membership Major Sale | Nov 2026,Black Friday,Nov,2026,🛍️ Membership Major Sale,📹 Video,⛰️ Quests (Membership),Confirmed,1 November 2026,30 November 2026,"September 17, 2026",45,Daniel Savov,$5000000.00
Future Human Dubai | 🎉 Festival | Nov 2026,Future Human Dubai,Nov,2026,🎉 Festival,💃 Large Event (> 500),💃 Event,Dates to be Confirmed,6 November 2026,8 November 2026,"May 10, 2026",180,Ajten Selfo,$3000000.00
Lifebook | 💻 Lifebook Live Webinar | Dec 2026,Lifebook,Dec,2026,💻 Lifebook Live Webinar,📺 Zoom,📖 Lifebook,Confirmed,19 December 2026,19 December 2026,"December 5, 2026",15,Ramya Rednam,$1000000.00
